gene_id	AGI_LocusCode
2200934	AT1G01010
2200939	AT1G01020
1009021149	AT1G01020
2200949	AT1G01030
2200959	AT1G01040
6530296038	AT1G01040
4515100464	AT1G01046
2200964	AT1G01050
2200969	AT1G01060
1005715162	AT1G01060
1009021147	AT1G01060
4010711637	AT1G01060
6530296039	AT1G01060
1006229933	AT1G01070
2200989	AT1G01070
5019473854	AT1G01073
1009021145	AT1G01080
2200974	AT1G01080
2200979	AT1G01090
2200984	AT1G01100
1005027848	AT1G01100
4010711638	AT1G01100
4010711639	AT1G01100
4515100465	AT1G01110
2200944	AT1G01110
5019473855	AT1G01115
2200954	AT1G01120
3435064	AT1G01130
3435060	AT1G01140
1005715163	AT1G01140
1005715164	AT1G01140
3435068	AT1G01150
3435072	AT1G01160
5019473856	AT1G01160
1009021152	AT1G01170
3435076	AT1G01170
3435052	AT1G01180
1009021336	AT1G01183
3435056	AT1G01190
2035301	AT1G01200
2035321	AT1G01210
2035361	AT1G01220
3691147	AT1G01225
2035351	AT1G01230
2035241	AT1G01240
1006229826	AT1G01240
1006229827	AT1G01240
2035256	AT1G01250
2035236	AT1G01260
4010711640	AT1G01260
6530296040	AT1G01260
1005715327	AT1G01270
2035266	AT1G01280
2035276	AT1G01290
5019473857	AT1G01290
2035296	AT1G01300
4515100466	AT1G01305
2035316	AT1G01310
2035326	AT1G01320
6530296041	AT1G01320
6530296042	AT1G01340
2035346	AT1G01340
2035376	AT1G01350
4515100467	AT1G01355
2035226	AT1G01360
2035251	AT1G01370
1009021141	AT1G01370
2035286	AT1G01380
2035271	AT1G01390
2035291	AT1G01400
2035311	AT1G01410
2035331	AT1G01420
2035341	AT1G01430
2035306	AT1G01440
4010711641	AT1G01448
4010711642	AT1G01448
4010711643	AT1G01448
2025355	AT1G01450
4515100468	AT1G01453
4515100469	AT1G01453
2025335	AT1G01460
2025345	AT1G01470
4515100470	AT1G01471
1005715534	AT1G01480
2025360	AT1G01480
2025420	AT1G01490
1009021142	AT1G01490
2025400	AT1G01500
2025375	AT1G01510
2025410	AT1G01520
2025385	AT1G01530
2025395	AT1G01540
1005715535	AT1G01540
1009021144	AT1G01550
2025405	AT1G01550
2025340	AT1G01560
4515100471	AT1G01560
2025415	AT1G01570
2025350	AT1G01580
2025365	AT1G01590
2025370	AT1G01600
2025380	AT1G01610
2025390	AT1G01620
4010711644	AT1G01620
2198134	AT1G01630
2198139	AT1G01640
1005715206	AT1G01640
1009021086	AT1G01650
2198154	AT1G01650
2198164	AT1G01660
2198179	AT1G01670
2198189	AT1G01680
2198199	AT1G01690
4515100472	AT1G01695
2198219	AT1G01700
2198204	AT1G01710
2198224	AT1G01720
3692209	AT1G01725
2198144	AT1G01730
2198159	AT1G01740
6530296043	AT1G01740
2198174	AT1G01750
2198184	AT1G01760
2198194	AT1G01770
2198209	AT1G01780
2198214	AT1G01790
2198229	AT1G01800
4010711645	AT1G01800
2198239	AT1G01810
2198149	AT1G01820
2198234	AT1G01830
4010711646	AT1G01830
4010711647	AT1G01830
2198169	AT1G01840
3433079	AT1G01860
1005715531	AT1G01870
6530296044	AT1G01880
2025446	AT1G01880
1005715532	AT1G01890
2025456	AT1G01900
2025466	AT1G01910
1005715533	AT1G01910
1009021051	AT1G01910
4010711648	AT1G01910
4515100473	AT1G01910
1009021050	AT1G01920
2025476	AT1G01920
2025486	AT1G01930
2025491	AT1G01940
2025496	AT1G01950
5019473858	AT1G01950
5019473859	AT1G01950
2025501	AT1G01960
2025441	AT1G01970
2025451	AT1G01980
2025461	AT1G01990
2025471	AT1G02000
3435890	AT1G02010
6530296045	AT1G02010
1006229984	AT1G02020
2205638	AT1G02020
2205648	AT1G02030
2205582	AT1G02040
2205587	AT1G02050
2205608	AT1G02060
504953949	AT1G02065
1006229981	AT1G02065
2205577	AT1G02070
4515100474	AT1G02074
6530296046	AT1G02080
2205613	AT1G02080
2205592	AT1G02090
1005027846	AT1G02090
1006229980	AT1G02090
1006229982	AT1G02100
1006229983	AT1G02100
2205618	AT1G02100
2205597	AT1G02110
2205624	AT1G02120
2205602	AT1G02130
4515100475	AT1G02136
2205629	AT1G02140
4010711649	AT1G02145
4010711650	AT1G02145
4010711651	AT1G02145
4515100476	AT1G02145
3435910	AT1G02150
3435894	AT1G02160
4010711652	AT1G02160
3435926	AT1G02170
3435866	AT1G02180
3435874	AT1G02190
1006229971	AT1G02190
1005715093	AT1G02205
6530296047	AT1G02205
3435882	AT1G02205
3435898	AT1G02210
3435906	AT1G02220
4010711653	AT1G02228
3435902	AT1G02230
3435922	AT1G02250
3435914	AT1G02260
3435870	AT1G02270
3435918	AT1G02280
4515100477	AT1G02280
3435878	AT1G02290
2204872	AT1G02300
3693167	AT1G02305
2204877	AT1G02310
2204892	AT1G02320
2204887	AT1G02330
2827076	AT1G02335
2204897	AT1G02340
2204907	AT1G02350
2204917	AT1G02360
2204807	AT1G02370
2204902	AT1G02380
2204817	AT1G02390
4515100478	AT1G02391
2204822	AT1G02400
504953961	AT1G02405
2204837	AT1G02410
2204912	AT1G02420
2204847	AT1G02430
3693162	AT1G02440
3693183	AT1G02450
3693178	AT1G02460
4010711654	AT1G02470
2196164	AT1G02470
3691854	AT1G02475
1005715255	AT1G02480
2196149	AT1G02490
2196159	AT1G02500
1005027855	AT1G02500
2196154	AT1G02510
2196144	AT1G02520
2196134	AT1G02530
2196099	AT1G02540
2196129	AT1G02550
2196119	AT1G02560
2196104	AT1G02570
6530296048	AT1G02575
2196109	AT1G02580
2196094	AT1G02590
1005715254	AT1G02600
2196084	AT1G02610
2196079	AT1G02620
2196069	AT1G02630
1009021073	AT1G02630
2196059	AT1G02640
2196049	AT1G02650
2196044	AT1G02660
2196114	AT1G02670
2196039	AT1G02680
5019473860	AT1G02681
1006229874	AT1G02690
2196139	AT1G02690
2196034	AT1G02700
2196089	AT1G02710
2024739	AT1G02720
1006229875	AT1G02720
3433649	AT1G02730
3433645	AT1G02740
3433641	AT1G02750
6530296049	AT1G02750
1005715546	AT1G02760
3433657	AT1G02770
3433637	AT1G02780
3433633	AT1G02790
3433629	AT1G02800
2024749	AT1G02810
3688961	AT1G02813
3688970	AT1G02816
2024734	AT1G02820
2024714	AT1G02830
2024769	AT1G02840
1005027878	AT1G02840
1005715550	AT1G02840
1005715548	AT1G02850
1006229695	AT1G02850
1006229696	AT1G02850
4515100479	AT1G02850
2024684	AT1G02850
2024674	AT1G02860
4515100480	AT1G02860
2024664	AT1G02870
2024659	AT1G02880
1005715551	AT1G02880
1005715552	AT1G02880
4515100481	AT1G02880
4515100482	AT1G02890
2024654	AT1G02890
2024729	AT1G02900
2024719	AT1G02910
2024699	AT1G02920
2024689	AT1G02930
6530296050	AT1G02930
2024774	AT1G02940
2024764	AT1G02950
1005715547	AT1G02950
1009021247	AT1G02950
4515100483	AT1G02950
4010711655	AT1G02952
1005715549	AT1G02960
1009021248	AT1G02960
2024759	AT1G02960
504954122	AT1G02965
2024779	AT1G02970
2024754	AT1G02980
2024709	AT1G02990
1006229694	AT1G02990
6530296051	AT1G02990
3433653	AT1G03000
2007563	AT1G03010
2007553	AT1G03020
4515100484	AT1G03022
2007543	AT1G03030
2007533	AT1G03040
6530296052	AT1G03040
2007523	AT1G03050
3686019	AT1G03055
1006229525	AT1G03055
2007513	AT1G03060
2007508	AT1G03070
6530296053	AT1G03070
2007568	AT1G03080
2007558	AT1G03090
1005715747	AT1G03090
2007548	AT1G03100
1006229523	AT1G03103
1006229524	AT1G03106
2007538	AT1G03110
2007528	AT1G03120
